month,commodity_name,avg_modal_price,avg_min_price,avg_max_price,state_name,district_name,calculationType,change
2021-10-01,Maize,1571.24,1427.5,1676.66,India,All,Monthly,-119.23
2021-09-01,Maize,1690.47,1605.95,1759.23,India,All,Monthly,-30.08
2021-08-01,Maize,1720.55,1656.16,1771.47,India,All,Monthly,58.77
2021-07-01,Maize,1661.78,1593.82,1714.76,India,All,Monthly,105.04
2021-06-01,Maize,1556.74,1478.59,1619.4,India,All,Monthly,39.91
2021-05-01,Maize,1516.83,1438.34,1577.06,India,All,Monthly,39.96
2021-04-01,Maize,1476.87,1397.81,1531.92,India,All,Monthly,63.43
2021-03-01,Maize,1413.44,1339.53,1468.77,India,All,Monthly,68.69
2021-02-01,Maize,1344.75,1270.87,1406.19,India,All,Monthly,-33.02
2021-01-01,Maize,1377.77,1292.97,1441.08,India,All,Monthly,-41.24
2020-12-01,Maize,1419.01,1331.44,1486.44,India,All,Monthly,3.77
2020-11-01,Maize,1415.24,1312.63,1492.2,India,All,Monthly,136.44
2020-10-01,Maize,1278.8,1170.51,1367.06,India,All,Monthly,1.75
2020-09-01,Maize,1277.05,1200.01,1335.43,India,All,Monthly,-27.84
2020-08-01,Maize,1304.89,1240.11,1354.72,India,All,Monthly,-33.26
2020-07-01,Maize,1338.15,1264.87,1400.62,India,All,Monthly,-29.55
2020-06-01,Maize,1367.7,1286.61,1429.25,India,All,Monthly,-17.21
2020-05-01,Maize,1384.91,1302.49,1449.82,India,All,Monthly,-162.66
2020-04-01,Maize,1547.57,1482.92,1603.61,India,All,Monthly,-31.16
2020-03-01,Maize,1578.73,1488.21,1644.82,India,All,Monthly,-126.06
2020-02-01,Maize,1704.79,1617.94,1769.73,India,All,Monthly,-147.96
2020-01-01,Maize,1852.75,1755.93,1925.09,India,All,Monthly,-10.1
2019-12-01,Maize,1862.85,1741.04,1951.44,India,All,Monthly,122.05
2019-11-01,Maize,1740.8,1590.02,1849.62,India,All,Monthly,-119.65
2019-10-01,Maize,1860.45,1734.08,1957.46,India,All,Monthly,-111.6
2019-09-01,Maize,1972.05,1890.36,2035.45,India,All,Monthly,-28.74
2019-08-01,Maize,2000.79,1929.09,2055.92,India,All,Monthly,33.11
2019-07-01,Maize,1967.68,1895.91,2023.01,India,All,Monthly,73.56
2019-06-01,Maize,1894.12,1818.05,1948.43,India,All,Monthly,-38.06
2019-05-01,Maize,1932.18,1852.22,1986.05,India,All,Monthly,-19.51
2019-04-01,Maize,1951.69,1876.09,2007.18,India,All,Monthly,105.86
2019-03-01,Maize,1845.83,1775.69,1892.1,India,All,Monthly,6.55
2019-02-01,Maize,1839.28,1768.78,1890.24,India,All,Monthly,151.49
2019-01-01,Maize,1687.79,1617.75,1736.52,India,All,Monthly,110.09
2018-12-01,Maize,1577.7,1495.68,1636.56,India,All,Monthly,151.56
2018-11-01,Maize,1426.14,1338.83,1489.16,India,All,Monthly,31.18
2018-10-01,Maize,1394.96,1304.01,1462.09,India,All,Monthly,11.24
2018-09-01,Maize,1383.72,1327.93,1431.9,India,All,Monthly,30.15
2018-08-01,Maize,1353.57,1303.35,1393.69,India,All,Monthly,39.81
2018-07-01,Maize,1313.76,1261.19,1353.54,India,All,Monthly,16.06
2018-06-01,Maize,1297.7,1240.85,1339.61,India,All,Monthly,20.64
2018-05-01,Maize,1277.06,1222.73,1312.2,India,All,Monthly,23.28
2018-04-01,Maize,1253.78,1198.34,1290.82,India,All,Monthly,9.65
2018-03-01,Maize,1244.13,1191.23,1282.58,India,All,Monthly,-10.0
2018-02-01,Maize,1254.13,1200.15,1292.59,India,All,Monthly,6.79
2018-01-01,Maize,1247.34,1193.21,1285.79,India,All,Monthly,6.96
2017-12-01,Maize,1240.38,1175.67,1286.28,India,All,Monthly,15.81
2017-11-01,Maize,1224.57,1145.43,1275.37,India,All,Monthly,-52.64
2017-10-01,Maize,1277.21,1194.72,1335.43,India,All,Monthly,-74.7
2017-09-01,Maize,1351.91,1293.55,1402.65,India,All,Monthly,-35.94
2017-08-01,Maize,1387.85,1341.81,1432.19,India,All,Monthly,-3.96
2017-07-01,Maize,1391.81,1339.89,1441.93,India,All,Monthly,-0.49
2017-06-01,Maize,1392.3,1328.94,1434.78,India,All,Monthly,-29.42
2017-05-01,Maize,1421.72,1357.38,1463.27,India,All,Monthly,-3.6
2017-04-01,Maize,1425.32,1361.21,1462.5,India,All,Monthly,-1.93
2017-03-01,Maize,1427.25,1369.24,1459.29,India,All,Monthly,-4.35
2017-02-01,Maize,1431.6,1368.55,1464.69,India,All,Monthly,14.77
2017-01-01,Maize,1416.83,1351.58,1452.8,India,All,Monthly,26.34
2016-12-01,Maize,1390.49,1323.81,1582.8,India,All,Monthly,9.62
2016-11-01,Maize,1380.87,1308.5,1426.75,India,All,Monthly,-38.65
2016-10-01,Maize,1419.52,1326.87,1486.69,India,All,Monthly,-115.28
2016-09-01,Maize,1534.8,1468.19,1602.06,India,All,Monthly,-33.58
2016-08-01,Maize,1568.38,1514.95,1618.27,India,All,Monthly,1.34
2016-07-01,Maize,1567.04,1511.63,1624.15,India,All,Monthly,49.55
2016-06-01,Maize,1517.49,1457.75,1568.78,India,All,Monthly,71.72
2016-05-01,Maize,1445.77,1387.71,1482.79,India,All,Monthly,16.27
2016-04-01,Maize,1429.5,1371.41,1462.8,India,All,Monthly,-16.47
2016-03-01,Maize,1445.97,1394.24,1480.71,India,All,Monthly,-1.63
2016-02-01,Maize,1447.6,1396.23,1485.63,India,All,Monthly,-0.53
2016-01-01,Maize,1448.13,1396.29,1486.44,India,All,Monthly,10.34
2015-12-01,Maize,1437.79,1380.09,1479.92,India,All,Monthly,39.91
2015-11-01,Maize,1397.88,1339.41,1444.45,India,All,Monthly,21.97
2015-10-01,Maize,1375.91,1310.7,1430.19,India,All,Monthly,-29.09
2015-09-01,Maize,1405.0,1350.41,1449.19,India,All,Monthly,52.99
2015-08-01,Maize,1352.01,1307.56,1387.66,India,All,Monthly,35.8
2015-07-01,Maize,1316.21,1267.93,1351.4,India,All,Monthly,33.53
2015-06-01,Maize,1282.68,1227.51,1316.31,India,All,Monthly,-1.57
2015-05-01,Maize,1284.25,1227.09,1312.49,India,All,Monthly,-11.82
2015-04-01,Maize,1296.07,1243.67,1326.77,India,All,Monthly,2.38
2015-03-01,Maize,1293.69,1244.09,1326.79,India,All,Monthly,30.91
2015-02-01,Maize,1262.78,1207.78,1299.44,India,All,Monthly,16.15
2015-01-01,Maize,1246.63,1187.81,1286.51,India,All,Monthly,28.93
2014-12-01,Maize,1217.7,1148.48,1268.4,India,All,Monthly,1.1
2014-11-01,Maize,1216.6,1134.84,1281.03,India,All,Monthly,-21.52
2014-10-01,Maize,1238.12,1172.41,1285.27,India,All,Monthly,-48.95
2014-09-01,Maize,1287.07,1234.13,1330.93,India,All,Monthly,-30.96
2014-08-01,Maize,1318.03,1272.38,1363.05,India,All,Monthly,27.13
2014-07-01,Maize,1290.9,1236.78,1346.76,India,All,Monthly,19.02
2014-06-01,Maize,1271.88,1207.59,1313.95,India,All,Monthly,-15.49
2014-05-01,Maize,1287.37,1224.4,1325.19,India,All,Monthly,-7.54
2014-04-01,Maize,1294.91,1237.11,1336.35,India,All,Monthly,4.62
2014-03-01,Maize,1290.29,1226.1,1331.07,India,All,Monthly,24.19
2014-02-01,Maize,1266.1,1205.95,1314.71,India,All,Monthly,-3.35
2014-01-01,Maize,1269.45,1206.64,1314.21,India,All,Monthly,-29.22
2013-12-01,Maize,1298.67,1231.17,1348.06,India,All,Monthly,-13.13
2013-11-01,Maize,1311.8,1243.01,1363.18,India,All,Monthly,-16.77
2013-10-01,Maize,1328.57,1254.02,1383.76,India,All,Monthly,-56.01
2013-09-01,Maize,1384.58,1326.17,1434.45,India,All,Monthly,21.75
2013-08-01,Maize,1362.83,1311.59,1405.27,India,All,Monthly,-4.39
2013-07-01,Maize,1367.22,1312.82,1409.89,India,All,Monthly,30.66
2013-06-01,Maize,1336.56,1281.89,1381.62,India,All,Monthly,64.22
2013-05-01,Maize,1272.34,1224.51,1309.84,India,All,Monthly,-24.52
2013-04-01,Maize,1296.86,1247.13,1333.47,India,All,Monthly,-13.83
2013-03-01,Maize,1310.69,1259.67,1346.44,India,All,Monthly,0.21
2013-02-01,Maize,1310.48,1256.61,1347.65,India,All,Monthly,-8.62
2013-01-01,Maize,1319.1,1261.28,1360.77,India,All,Monthly,-0.49
2012-12-01,Maize,1319.59,1255.75,1368.44,India,All,Monthly,69.76
2012-11-01,Maize,1249.83,1180.72,1302.45,India,All,Monthly,28.06
2012-10-01,Maize,1221.77,1149.75,1277.53,India,All,Monthly,-38.35
2012-09-01,Maize,1260.12,1193.36,1313.76,India,All,Monthly,18.49
2012-08-01,Maize,1241.63,1185.8,1291.05,India,All,Monthly,60.84
2012-07-01,Maize,1180.79,1126.13,1228.49,India,All,Monthly,108.09
2012-06-01,Maize,1072.7,1018.84,1114.53,India,All,Monthly,-8.28
2012-05-01,Maize,1080.98,1031.92,1118.75,India,All,Monthly,-41.42
2012-04-01,Maize,1122.4,1076.73,1161.02,India,All,Monthly,7.38
2012-03-01,Maize,1115.02,1071.55,1150.36,India,All,Monthly,6.54
2012-02-01,Maize,1108.48,1063.13,1146.19,India,All,Monthly,8.18
2012-01-01,Maize,1100.3,1053.72,1142.48,India,All,Monthly,69.33
2011-12-01,Maize,1030.97,984.71,1074.7,India,All,Monthly,32.83
2011-11-01,Maize,998.14,949.16,1039.56,India,All,Monthly,23.27
2011-10-01,Maize,974.87,923.84,1018.94,India,All,Monthly,-51.03
2011-09-01,Maize,1025.9,974.52,1070.31,India,All,Monthly,-47.95
2011-08-01,Maize,1073.85,1024.39,1117.16,India,All,Monthly,-17.89
2011-07-01,Maize,1091.74,1034.98,1137.79,India,All,Monthly,4.11
2011-06-01,Maize,1087.63,1028.69,1133.28,India,All,Monthly,11.29
2011-05-01,Maize,1076.34,1025.73,1113.64,India,All,Monthly,-12.36
2011-04-01,Maize,1088.7,1038.2,1124.34,India,All,Monthly,84.63
2011-03-01,Maize,1004.07,962.05,1034.81,India,All,Monthly,52.34
2011-02-01,Maize,951.73,911.25,980.71,India,All,Monthly,12.98
2011-01-01,Maize,938.75,896.77,972.74,India,All,Monthly,34.17
2010-12-01,Maize,904.58,862.6,939.88,India,All,Monthly,-1.91
2010-11-01,Maize,906.49,862.83,943.68,India,All,Monthly,-19.25
2010-10-01,Maize,925.74,874.51,968.19,India,All,Monthly,-50.07
2010-09-01,Maize,975.81,929.85,1015.15,India,All,Monthly,-1.28
2010-08-01,Maize,977.09,940.23,1010.89,India,All,Monthly,-13.13
2010-07-01,Maize,990.22,949.56,1025.6,India,All,Monthly,41.39
2010-06-01,Maize,948.83,906.78,982.12,India,All,Monthly,44.99
2010-05-01,Maize,903.84,868.15,925.89,India,All,Monthly,-0.42
2010-04-01,Maize,904.26,868.21,926.21,India,All,Monthly,11.27
2010-03-01,Maize,892.99,858.43,917.22,India,All,Monthly,-7.93
2010-02-01,Maize,900.92,866.93,926.97,India,All,Monthly,-0.83
2010-01-01,Maize,901.75,867.29,930.29,India,All,Monthly,
2025-03-01,Wheat,2730.88,2572.68,2845.22,India,All,Monthly,-161.04
2025-02-01,Wheat,2891.92,2743.18,2994.66,India,All,Monthly,-37.41
2025-01-01,Wheat,2929.33,2794.13,3036.33,India,All,Monthly,112.89
2024-12-01,Wheat,2816.44,2683.29,2913.31,India,All,Monthly,7.23
2024-11-01,Wheat,2809.21,2669.12,2924.59,India,All,Monthly,81.81
2024-10-01,Wheat,2727.4,2597.5,2850.09,India,All,Monthly,98.61
2024-09-01,Wheat,2628.79,2508.83,2724.91,India,All,Monthly,47.77
2024-08-01,Wheat,2581.02,2463.45,2671.08,India,All,Monthly,70.24
2024-07-01,Wheat,2510.78,2403.28,2599.67,India,All,Monthly,40.82
2024-06-01,Wheat,2469.96,2345.43,2583.33,India,All,Monthly,48.22
2024-05-01,Wheat,2421.74,2291.63,2564.47,India,All,Monthly,36.6
2024-04-01,Wheat,2385.14,2249.76,2537.77,India,All,Monthly,-45.18
2024-03-01,Wheat,2430.32,2266.16,2602.44,India,All,Monthly,-29.33
2024-02-01,Wheat,2459.65,2333.7,2621.74,India,All,Monthly,-82.34
2024-01-01,Wheat,2541.99,2433.95,2687.17,India,All,Monthly,14.45
2023-12-01,Wheat,2527.54,2400.69,2670.89,India,All,Monthly,-31.73
2023-11-01,Wheat,2559.27,2426.41,2694.58,India,All,Monthly,88.88
2023-10-01,Wheat,2470.39,2345.84,2600.95,India,All,Monthly,70.66
2023-09-01,Wheat,2399.73,2295.89,2494.15,India,All,Monthly,-20.56
2023-08-01,Wheat,2420.29,2307.46,2535.13,India,All,Monthly,124.41
2023-07-01,Wheat,2295.88,2187.21,2409.7,India,All,Monthly,19.76
2023-06-01,Wheat,2276.12,2151.65,2400.91,India,All,Monthly,46.92
2023-05-01,Wheat,2229.2,2101.24,2366.26,India,All,Monthly,24.28
2023-04-01,Wheat,2204.92,2065.4,2349.89,India,All,Monthly,-45.06
2023-03-01,Wheat,2249.98,2087.37,2391.34,India,All,Monthly,-227.9
2023-02-01,Wheat,2477.88,2338.1,2595.28,India,All,Monthly,-194.19
2023-01-01,Wheat,2672.07,2548.76,2775.84,India,All,Monthly,106.37
2022-12-01,Wheat,2565.7,2442.68,2670.34,India,All,Monthly,88.02
2022-11-01,Wheat,2477.68,2350.27,2583.75,India,All,Monthly,167.24
2022-10-01,Wheat,2310.44,2205.87,2398.84,India,All,Monthly,47.99
2022-09-01,Wheat,2262.45,2164.62,2340.32,India,All,Monthly,7.88
2022-08-01,Wheat,2254.57,2156.31,2336.22,India,All,Monthly,122.14
2022-07-01,Wheat,2132.43,2035.12,2217.2,India,All,Monthly,58.73
2022-06-01,Wheat,2073.7,1966.93,2175.13,India,All,Monthly,-52.06
2022-05-01,Wheat,2125.76,2013.53,2233.9,India,All,Monthly,12.37
2022-04-01,Wheat,2113.39,2000.14,2233.89,India,All,Monthly,13.0
2022-03-01,Wheat,2100.39,1975.75,2215.51,India,All,Monthly,111.9
2022-02-01,Wheat,1988.49,1889.96,2086.05,India,All,Monthly,23.04
2022-01-01,Wheat,1965.45,1872.38,2052.44,India,All,Monthly,15.31
2021-12-01,Wheat,1950.14,1857.23,2037.57,India,All,Monthly,2.55
2021-11-01,Wheat,1947.59,1853.61,2038.19,India,All,Monthly,32.02
2021-10-01,Wheat,1915.57,1825.69,2004.51,India,All,Monthly,44.13
2021-09-01,Wheat,1871.44,1784.03,1971.39,India,All,Monthly,83.81
2021-08-01,Wheat,1787.63,1703.23,1872.92,India,All,Monthly,19.57
2021-07-01,Wheat,1768.06,1681.65,1858.21,India,All,Monthly,-54.85
2021-06-01,Wheat,1822.91,1702.23,1912.73,India,All,Monthly,-88.63
2021-05-01,Wheat,1911.54,1827.14,1975.28,India,All,Monthly,24.16
2021-04-01,Wheat,1887.38,1800.41,1967.79,India,All,Monthly,137.44
2021-03-01,Wheat,1749.94,1653.05,1854.34,India,All,Monthly,18.13
2021-02-01,Wheat,1731.81,1645.22,1818.3,India,All,Monthly,-9.54
2021-01-01,Wheat,1741.35,1653.96,1834.31,India,All,Monthly,77.97
2020-12-01,Wheat,1663.38,1579.35,1757.87,India,All,Monthly,-43.35
2020-11-01,Wheat,1706.73,1614.0,1814.36,India,All,Monthly,22.4
2020-10-01,Wheat,1684.33,1599.29,1781.02,India,All,Monthly,-16.72
2020-09-01,Wheat,1701.05,1621.29,1792.62,India,All,Monthly,-81.03
2020-08-01,Wheat,1782.08,1707.91,1863.48,India,All,Monthly,-53.52
2020-07-01,Wheat,1835.6,1761.79,1913.63,India,All,Monthly,-32.72
2020-06-01,Wheat,1868.32,1782.68,1955.77,India,All,Monthly,-38.97
2020-05-01,Wheat,1907.29,1833.26,1983.45,India,All,Monthly,-19.35
2020-04-01,Wheat,1926.64,1868.11,1984.71,India,All,Monthly,3.42
2020-03-01,Wheat,1923.22,1826.0,2013.62,India,All,Monthly,-137.63
2020-02-01,Wheat,2060.85,1970.49,2143.9,India,All,Monthly,-65.52
2020-01-01,Wheat,2126.37,2033.91,2214.43,India,All,Monthly,57.76
2019-12-01,Wheat,2068.61,1981.58,2152.47,India,All,Monthly,19.78
2019-11-01,Wheat,2048.83,1963.26,2130.14,India,All,Monthly,45.38
2019-10-01,Wheat,2003.45,1931.04,2074.25,India,All,Monthly,34.64
2019-09-01,Wheat,1968.81,1903.46,2028.91,India,All,Monthly,-3.33
2019-08-01,Wheat,1972.14,1907.03,2030.5,India,All,Monthly,60.48
2019-07-01,Wheat,1911.66,1846.05,1973.64,India,All,Monthly,32.46
2019-06-01,Wheat,1879.2,1804.33,1947.94,India,All,Monthly,-3.44
2019-05-01,Wheat,1882.64,1802.49,1960.55,India,All,Monthly,22.15
2019-04-01,Wheat,1860.49,1769.29,1948.63,India,All,Monthly,-65.78
2019-03-01,Wheat,1926.27,1830.48,2013.97,India,All,Monthly,-54.93
2019-02-01,Wheat,1981.2,1890.81,2062.31,India,All,Monthly,-6.85
2019-01-01,Wheat,1988.05,1903.87,2066.81,India,All,Monthly,28.73
2018-12-01,Wheat,1959.32,1876.14,2042.13,India,All,Monthly,25.19
2018-11-01,Wheat,1934.13,1851.53,2014.59,India,All,Monthly,35.06
2018-10-01,Wheat,1899.07,1821.75,1975.6,India,All,Monthly,21.88
2018-09-01,Wheat,1877.19,1800.29,1965.64,India,All,Monthly,7.54
2018-08-01,Wheat,1869.65,1790.08,1943.98,India,All,Monthly,65.03
2018-07-01,Wheat,1804.62,1725.6,1882.74,India,All,Monthly,47.72
2018-06-01,Wheat,1756.9,1671.32,1832.78,India,All,Monthly,7.42
2018-05-01,Wheat,1749.48,1666.42,1827.02,India,All,Monthly,19.75
2018-04-01,Wheat,1729.73,1645.51,1807.77,India,All,Monthly,27.26
2018-03-01,Wheat,1702.47,1612.04,1791.65,India,All,Monthly,24.17
2018-02-01,Wheat,1678.3,1602.74,1753.03,India,All,Monthly,1.13
2018-01-01,Wheat,1677.17,1607.74,1744.96,India,All,Monthly,14.8
2017-12-01,Wheat,1662.37,1591.16,1731.1,India,All,Monthly,4.43
2017-11-01,Wheat,1657.94,1584.71,1733.08,India,All,Monthly,19.68
2017-10-01,Wheat,1638.26,1568.58,1707.46,India,All,Monthly,-1.05
2017-09-01,Wheat,1639.31,1574.72,1708.0,India,All,Monthly,-8.67
2017-08-01,Wheat,1647.98,1587.18,1713.02,India,All,Monthly,7.79
2017-07-01,Wheat,1640.19,1575.41,1706.49,India,All,Monthly,-8.36
2017-06-01,Wheat,1648.55,1574.52,1717.27,India,All,Monthly,-23.09
2017-05-01,Wheat,1671.64,1585.7,1756.91,India,All,Monthly,-5.82
2017-04-01,Wheat,1677.46,1594.76,1768.29,India,All,Monthly,-44.56
2017-03-01,Wheat,1722.02,1616.89,1824.6,India,All,Monthly,-115.53
2017-02-01,Wheat,1837.55,1734.81,1927.25,India,All,Monthly,-50.91
2017-01-01,Wheat,1888.46,1794.12,1983.85,India,All,Monthly,-19.04
2016-12-01,Wheat,1907.5,1810.83,2003.99,India,All,Monthly,0.83
2016-11-01,Wheat,1906.67,1817.43,2005.7,India,All,Monthly,145.74
2016-10-01,Wheat,1760.93,1680.28,1855.66,India,All,Monthly,14.7
2016-09-01,Wheat,1746.23,1674.45,1828.62,India,All,Monthly,-6.59
2016-08-01,Wheat,1752.82,1681.42,1839.35,India,All,Monthly,11.9
2016-07-01,Wheat,1740.92,1672.57,1824.85,India,All,Monthly,11.74
2016-06-01,Wheat,1729.18,1646.8,1830.89,India,All,Monthly,65.83
2016-05-01,Wheat,1663.35,1574.88,1779.16,India,All,Monthly,32.39
2016-04-01,Wheat,1630.96,1541.43,1740.09,India,All,Monthly,-56.54
2016-03-01,Wheat,1687.5,1573.48,1812.42,India,All,Monthly,-16.9
2016-02-01,Wheat,1704.4,1600.76,1821.6,India,All,Monthly,3.73
2016-01-01,Wheat,1700.67,1604.64,1818.83,India,All,Monthly,29.27
2015-12-01,Wheat,1671.4,1572.47,1796.21,India,All,Monthly,26.82
2015-11-01,Wheat,1644.58,1549.83,1762.52,India,All,Monthly,23.64
2015-10-01,Wheat,1620.94,1533.7,1729.39,India,All,Monthly,64.09
2015-09-01,Wheat,1556.85,1479.51,1647.43,India,All,Monthly,21.61
2015-08-01,Wheat,1535.24,1457.45,1623.83,India,All,Monthly,3.41
2015-07-01,Wheat,1531.83,1447.61,1629.31,India,All,Monthly,0.68
2015-06-01,Wheat,1531.15,1426.05,1645.66,India,All,Monthly,7.4
2015-05-01,Wheat,1523.75,1420.91,1635.24,India,All,Monthly,-2.55
2015-04-01,Wheat,1526.3,1416.3,1646.18,India,All,Monthly,-32.51
2015-03-01,Wheat,1558.81,1455.45,1665.69,India,All,Monthly,-31.32
2015-02-01,Wheat,1590.13,1517.57,1660.14,India,All,Monthly,-32.42
2015-01-01,Wheat,1622.55,1553.24,1692.87,India,All,Monthly,50.65
2014-12-01,Wheat,1571.9,1504.74,1644.26,India,All,Monthly,13.32
2014-11-01,Wheat,1558.58,1488.08,1635.96,India,All,Monthly,28.05
2014-10-01,Wheat,1530.53,1459.74,1607.04,India,All,Monthly,-105.05
2014-09-01,Wheat,1635.58,1563.58,1723.07,India,All,Monthly,61.95
2014-08-01,Wheat,1573.63,1504.54,1659.03,India,All,Monthly,27.93
2014-07-01,Wheat,1545.7,1471.96,1645.8,India,All,Monthly,25.09
2014-06-01,Wheat,1520.61,1436.06,1627.94,India,All,Monthly,-19.67
2014-05-01,Wheat,1540.28,1463.95,1635.9,India,All,Monthly,-12.55
2014-04-01,Wheat,1552.83,1465.57,1652.59,India,All,Monthly,-94.27
2014-03-01,Wheat,1647.1,1534.79,1761.95,India,All,Monthly,-50.01
2014-02-01,Wheat,1697.11,1601.46,1805.4,India,All,Monthly,-14.11
2014-01-01,Wheat,1711.22,1624.2,1825.52,India,All,Monthly,25.91
2013-12-01,Wheat,1685.31,1596.25,1803.21,India,All,Monthly,27.04
2013-11-01,Wheat,1658.27,1573.31,1780.96,India,All,Monthly,70.79
2013-10-01,Wheat,1587.48,1514.5,1686.75,India,All,Monthly,43.44
2013-09-01,Wheat,1544.04,1481.59,1625.06,India,All,Monthly,19.42
2013-08-01,Wheat,1524.62,1467.07,1604.5,India,All,Monthly,-25.95
2013-07-01,Wheat,1550.57,1482.9,1635.33,India,All,Monthly,-21.16
2013-06-01,Wheat,1571.73,1489.37,1678.56,India,All,Monthly,37.1
2013-05-01,Wheat,1534.63,1451.69,1643.44,India,All,Monthly,29.73
2013-04-01,Wheat,1504.9,1422.75,1603.93,India,All,Monthly,-53.68
2013-03-01,Wheat,1558.58,1460.47,1662.96,India,All,Monthly,-39.97
2013-02-01,Wheat,1598.55,1515.19,1702.59,India,All,Monthly,33.82
2013-01-01,Wheat,1564.73,1490.48,1663.61,India,All,Monthly,13.45
2012-12-01,Wheat,1551.28,1475.12,1648.95,India,All,Monthly,14.5
2012-11-01,Wheat,1536.78,1455.62,1637.74,India,All,Monthly,74.28
2012-10-01,Wheat,1462.5,1382.81,1548.79,India,All,Monthly,-33.47
2012-09-01,Wheat,1495.97,1419.2,1579.06,India,All,Monthly,47.55
2012-08-01,Wheat,1448.42,1377.45,1544.38,India,All,Monthly,121.6
2012-07-01,Wheat,1326.82,1252.74,1432.84,India,All,Monthly,70.05
2012-06-01,Wheat,1256.77,1173.61,1356.99,India,All,Monthly,-36.22
2012-05-01,Wheat,1292.99,1217.02,1381.72,India,All,Monthly,4.32
2012-04-01,Wheat,1288.67,1220.56,1368.49,India,All,Monthly,41.46
2012-03-01,Wheat,1247.21,1172.23,1333.38,India,All,Monthly,51.09
2012-02-01,Wheat,1196.12,1135.29,1264.75,India,All,Monthly,6.47
2012-01-01,Wheat,1189.65,1130.3,1261.74,India,All,Monthly,65.65
2011-12-01,Wheat,1124.0,1071.71,1197.73,India,All,Monthly,6.46
2011-11-01,Wheat,1117.54,1067.37,1194.07,India,All,Monthly,22.99
2011-10-01,Wheat,1094.55,1043.41,1156.77,India,All,Monthly,-16.54
2011-09-01,Wheat,1111.09,1061.9,1173.21,India,All,Monthly,-22.93
2011-08-01,Wheat,1134.02,1082.9,1194.45,India,All,Monthly,-22.77
2011-07-01,Wheat,1156.79,1100.12,1221.88,India,All,Monthly,-7.49
2011-06-01,Wheat,1164.28,1096.84,1233.73,India,All,Monthly,-40.54
